state,tmc,avg_speedlimit
nj,103N04152,55
nj,103N04153,55
nj,103N04154,55
nj,103N04155,64.503
nj,103N04156,65
nj,103N04157,65
nj,103N04158,65
nj,103N04159,65
nj,103N04160,65
nj,103N04161,65
nj,103N04162,65
nj,103N04186,50
nj,103N04187,50
nj,103N04188,50
nj,103N04189,50
nj,103N04190,50
nj,103N04191,62.721
nj,103N04192,65
nj,103N04193,65
nj,103N04194,65
nj,103N04195,65
nj,103N04196,65
nj,103N04197,65
nj,103N04198,65
nj,103N04199,65
nj,103N04200,65
nj,103N04201,65
nj,103N04202,65
nj,103N04203,65
nj,103N04204,65
nj,103N04205,65
nj,103N04206,65
nj,103N04207,65
nj,103N04208,65
nj,103N04209,65
nj,103N04210,45
nj,103N04211,45.24
nj,103N04212,55
nj,103N04213,55
nj,103N04214,55
nj,103N04215,55
nj,103N04216,55
nj,103N04217,64.049
nj,103N04218,65
nj,103N04219,65
nj,103N04220,65
nj,103N04221,65
nj,103N04222,65
nj,103N04223,65
nj,103N04224,65
nj,103N04225,65
nj,103N04226,65
nj,103N04227,65
nj,103N04228,65
nj,103N04229,65
nj,103N04230,65
nj,103N04231,65
nj,103N04232,65
nj,103N04233,50
nj,103N04234,50
nj,103N04235,50
nj,103N04236,60.442
nj,103N04237,65
nj,103N04238,65
nj,103N04239,65
nj,103N04240,65
nj,103N04241,65
nj,103N04242,65
nj,103N04243,65
nj,103N04244,65
nj,103N04245,65
nj,103N04246,65
nj,103N04247,65
nj,103N04248,65
nj,103N04249,45
nj,103N04250,45
nj,103N04251,45
nj,103N04252,45
nj,103N04288,45
nj,103N04289,45
nj,103N04290,45
nj,103N04291,45
nj,103N04292,45
nj,103N04293,45
nj,103N04294,45
nj,103N04295,50.134
nj,103N04296,55
nj,103N04297,55
nj,103N04298,55
nj,103N04299,55
nj,103N04300,55
nj,103N04301,55
nj,103N04302,55
nj,103N04303,55
nj,103N04304,55
nj,103N04305,55
nj,103N04306,65
nj,103N04307,64.89
nj,103N04308,65
nj,103N04309,65
nj,103N04310,65
nj,103N04311,62.841
nj,103N04312,55
nj,103N04313,55
nj,103N04314,55
nj,103N04315,55
nj,103N04316,55
nj,103N04317,47.659
nj,103N04318,45
nj,103N04319,45
nj,103N04320,45
nj,103N04326,45
nj,103N04327,45
nj,103N04328,50
nj,103N04329,50
nj,103N04330,46.298
nj,103N04331,45
nj,103N04332,45
